Point_ID,Y,Z
375,430.63295888016216,-18.168951979231803
376,430.48738217149577,-18.416113761352204
377,430.4456986260102,-18.69991652152699
378,430.5140564783866,-18.97849995367177
379,430.6823730901686,-19.210773591533002
380,430.9258221175817,-19.36247756543846
381,431.208495344662,-19.411235860517856
382,431.27226714085896,-19.409805968519027
383,431.3362450274717,-19.405618895386606
384,431.382116484718,-19.400632123955766
385,431.41813005278334,-19.398471065249357
386,434.0692337094051,-19.367761329076792
387,434.0828334733359,-19.367851471458422
388,434.31563208378793,-19.373635263488318
389,434.3374158509148,-19.37385867026638
390,436.36778336007353,-19.36506932302636
391,437.27405641413895,-19.364366871375104
392,437.28194255625266,-19.364319123983822
393,437.8927553295902,-19.35739591129656
394,437.8994868075157,-19.35738028771371
395,439.4396718221997,-19.36768736360818
396,439.4454434177131,-19.367703687108573
397,439.45386852896394,-19.367694962711596
398,440.2154896644724,-19.372878784500656
399,440.22304826985334,-19.372891982835036
400,442.58243197128314,-19.365073119006574
401,443.5353809230557,-19.36436550187252
402,449.6316977379157,-19.396471021973177
403,449.63822944614924,-19.39656257611916
404,453.5310195947077,-19.485190930999572
405,453.54130960880286,-19.48535428743099
406,456.8746527948593,-19.515303297523957
407,456.87976358593147,-19.515384198712386
408,457.2018045120914,-19.52268672658164
409,458.05926271235916,-19.542966328967598
410,458.4849501166644,-19.55348554590999
411,459.6661902432253,-19.59395625193921
412,459.6687294211638,-19.594038923951068
413,464.255049551175,-19.7355550336894
414,464.2623120437742,-19.735849895512903
415,470.0408414566428,-20.02681527983621
416,470.06448014567854,-20.02763056074207
417,471.09495712629723,-20.046841740274765
418,471.0996459880824,-20.046958614259797
419,473.4644176100125,-20.120764841525713
420,473.46916954268704,-20.120943443600865
421,474.5733378094624,-20.16948557257697
422,474.59328021679516,-20.17089804929049
423,475.1801658320905,-20.228292576677237
424,475.25685444599526,-20.231828082827988
425,475.6031699399347,-20.229976616342167
426,475.6223562473218,-20.230367196623742
427,476.40423912574323,-20.26640228780827
428,477.7657142427441,-20.338085911796014
429,477.77887926069326,-20.33901284429743
430,479.11229443309253,-20.456618145567578
431,479.1416834355345,-20.45862705217749
432,482.3911320028156,-20.61644082506561
433,482.4012090454992,-20.61706688085542
434,483.3016492002041,-20.68523951829848
435,483.30468931543453,-20.685463447941643
436,492.5790804585008,-21.349573091250388
437,492.5861611299093,-21.35014785842709
438,493.82888431177605,-21.462932668123525
439,493.85050478203186,-21.46457882555234
440,494.37179843841096,-21.496666414354667
441,494.40462410030915,-21.503895384864446
442,494.48648413588967,-21.624717736123305
443,494.5286136367788,-21.75957672789513
444,494.53879184136855,-21.799946615697458
445,494.8381462555316,-23.346796475072452
446,494.84136289907366,-23.366123314608576
447,495.0124784417502,-24.592068220076772
448,495.0146032252704,-24.610696130005998
449,495.03782698140606,-24.872530694254152
450,495.03885833984384,-24.887630326009216
451,495.0425606740671,-24.964815045705336
452,495.0429890798046,-24.983259057472683
453,495.04292836583073,-25.02416916837321
454,495.0421552153779,-25.039447920204466
455,495.0351112014798,-25.069306400669387
456,495.023360667017,-25.08838196569473
457,494.96151766766513,-25.10517629268291
458,487.83848395822633,-25.65321187977376
459,484.2289023103148,-25.898635167409058
460,482.4220026749392,-26.02069349952441
461,481.05553973135426,-26.106462466601794
462,479.08701960968864,-26.226765490815655
463,479.0810469471269,-26.22708250999785
464,470.2525710389953,-26.624811013440095
465,470.24267064378694,-26.625322891797047
466,467.41948443128115,-26.790082814955767
467,467.409164954704,-26.790541943486353
468,466.2344118512177,-26.826536851943494
469,466.2255424482914,-26.82686137165402
470,465.1165434302955,-26.874037675295806
471,463.8228734867214,-26.917308765198438
472,461.5280103078057,-26.97895476139384
473,452.27873404053435,-27.17529551493532
474,452.2737496691461,-27.17536803407547
475,447.8521014666732,-27.210181864945383
476,447.8401131832407,-27.210372493183783
477,447.09344861691795,-27.22824090612101
478,447.0880397099078,-27.228331153268382
479,445.74317832701206,-27.24102745344706
480,445.7380185086218,-27.24104051701318
481,443.3943654738238,-27.230782854556843
482,443.3765317498822,-27.230917724298408
483,442.8611788095999,-27.240969264564214
484,442.85271500277423,-27.241038404455622
485,436.4585840081515,-27.22080537735649
